Query_ID,Hit_Count,Min_Evalue,Max_Bitscore,Source_Files
D00723:439:HGFFGBCX3:1:1104:4088:54087,2,8.82e-06,31.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1104:14571:61775,12,2.5e-12,49.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:20360:81440,2,7.13e-12,48.5,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1104:16308:93045,2,4.7e-06,32.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:2683:16768,4,6.11e-11,45.8,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:14755:18090,7,3.32e-17,63.5,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:9662:26262,6,8.9e-14,53.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:8996:30127,7,4.02e-18,66.2,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:20670:36901,7,7.19e-15,57.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:3171:56082,2,2.08e-15,58.5,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:15920:62231,5,9.56e-20,70.9,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:17525:63128,1,3.36e-09,40.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:9963:63448,1,6.15e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:15668:79162,3,3.08e-13,52.4,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1102:14252:88392,7,4.82e-15,57.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:6632:97439,1,6.54e-07,34.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:6255:99643,3,4.78e-10,43.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1102:8177:100738,14,2.31e-13,52.8,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:4499:4034,3,6.07e-11,45.8,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:6721:4111,7,5.51e-11,45.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1105:14267:15338,6,1.25e-17,64.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:20004:23977,14,1.37e-17,64.7,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:13081:30713,13,1.47e-11,47.8,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:7202:45503,1,1.36e-13,53.5,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1105:14843:48192,8,3.3e-11,46.6,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:6140:60814,2,2.99e-15,58.2,104508_comb.part_001_blastx.txt;104508_comb.part_004_blastx.txt
D00723:439:HGFFGBCX3:1:1105:9753:66784,1,3.28e-06,32.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1105:6831:79989,6,1.35e-08,39.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1105:14394:87764,14,2.26e-18,67.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1105:6735:88397,13,1.48e-09,42.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1105:13797:92814,8,5.67e-11,45.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:17793:12061,10,3.06e-10,43.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:5187:26658,7,3.83e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:14653:27948,1,4.62e-14,54.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:3933:39295,4,3.97e-15,57.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:7061:53317,4,2.55e-18,66.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:10450:54912,4,5.65e-19,68.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:20160:58903,3,3.52e-08,38.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:2511:62101,1,3.95e-06,32.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:8212:72299,4,8.86e-15,56.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:8168:76931,1,4.74e-06,32.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:20626:79513,2,3.84e-14,54.7,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:15597:84299,14,1.26e-14,56.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1108:1745:99738,1,1.67e-14,55.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1108:2193:99922,2,2.02e-17,64.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1101:13094:2134,9,1.34e-17,64.7,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:20011:16236,2,9.4e-08,37.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:7126:19816,2,5.67e-06,32.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:9162:21968,1,1.52e-06,33.5,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1101:15797:32747,4,9.38e-19,68.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:8541:37329,12,5.06e-15,57.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:10062:41364,1,6.01e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1101:17814:59983,1,1.75e-06,33.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1101:9435:74704,14,2.57e-11,47.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1101:8137:96680,4,8.35e-18,65.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:13836:14760,5,7.38e-18,65.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:12681:15868,2,2.28e-14,55.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:5073:42243,2,1.32e-08,39.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:8283:44250,4,4.44e-19,68.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:14123:55401,7,3.89e-13,52.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:11329:61999,7,2.53e-13,52.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1106:18841:64267,6,2.85e-08,38.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1106:15654:70968,4,5.24e-18,65.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:5149:75236,4,3.44e-18,66.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1106:10466:75736,1,6.55e-09,40.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1106:15129:75875,2,1.19e-14,56.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1106:16595:87549,11,1.05e-11,47.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:8176:17800,14,1.23e-10,45.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:18194:32152,4,4.9e-17,63.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:4691:39072,4,7.86e-11,45.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1107:13741:39506,2,1.39e-08,39.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:1198:43645,2,1.14e-14,56.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:5146:58870,1,1.78e-06,33.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1107:10022:74965,2,4.53e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1107:18492:75540,4,1.49e-12,50.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:9703:77269,14,1.84e-12,50.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:14369:81229,6,1.25e-17,64.7,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:12968:86988,4,7.27e-11,45.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:12090:89928,4,3.49e-20,72.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:16966:91011,14,4.86e-11,45.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:6952:92738,14,1.43e-12,50.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1107:4770:97714,3,3.13e-07,35.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:16778:3449,2,4.41e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:8960:10833,1,9.01e-06,31.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:18742:20897,4,7.91e-14,53.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:18155:21342,2,1.9e-16,61.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:6297:24377,1,7.67e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:5661:30255,14,2.89e-10,43.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:2004:35756,2,4.68e-10,43.5,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:7130:40813,3,4.27e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:8750:50287,12,6.06e-10,43.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:20565:52114,1,1.3e-06,33.5,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:16194:53109,4,5.1e-20,71.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:16703:69238,4,5.41e-22,77.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:20765:75163,2,4.11e-10,43.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:20456:84855,6,5.64e-09,40.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:9149:90610,3,2.54e-09,41.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1111:21137:91970,10,4.06e-10,43.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1111:8789:95397,1,4.85e-07,34.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:20256:6242,4,2.53e-07,35.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:2465:7752,3,1.05e-06,33.9,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:18006:11892,14,7.9e-18,65.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:4105:13165,1,7.54e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:10861:22191,3,2.65e-11,47.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:6838:23508,4,4.06e-19,68.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:4506:29865,14,1.86e-14,55.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:11918:33273,2,1.97e-07,35.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:7062:33761,12,1.2e-18,67.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:18668:52095,1,5.29e-06,32.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:3668:63400,2,1.45e-10,44.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:8267:64453,4,1.69e-17,64.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:7546:65879,3,1.13e-08,39.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:20290:66862,8,4.57e-17,63.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:10168:70006,3,1.65e-10,44.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:3583:73304,4,2.69e-13,52.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:20183:78025,1,4.85e-07,34.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:1840:78727,1,9.88e-07,33.9,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:2269:80393,2,3.84e-12,49.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:8544:81957,2,7.07e-08,37.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:11576:85455,2,4.53e-11,46.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1112:19995:88730,2,3.19e-06,32.3,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1112:2377:92784,14,3.83e-11,46.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:16204:5426,3,2.6e-14,55.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:11938:12426,3,9.61e-08,36.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:15125:14985,4,1.45e-15,58.9,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:5050:16794,9,3.69e-12,49.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:19045:19680,3,6.2e-08,37.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:18618:26583,6,5.59e-09,40.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:11216:29080,7,2.92e-12,49.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:2717:30684,1,9.43e-09,39.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:13653:41703,4,3.73e-14,55.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:2575:68200,2,2.2e-08,38.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:6636:73684,6,1.26e-09,42.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1109:10959:74080,4,1.64e-18,67.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1109:2562:91832,12,8.82e-12,48.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:7453:12787,3,3.69e-07,35.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:20202:32445,4,4.61e-18,65.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:8466:32584,7,5.73e-12,48.9,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:20473:38230,6,9.8e-16,59.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:12644:39412,4,1.85e-16,61.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:7628:45083,1,2.07e-06,33.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:16251:56531,2,2.23e-08,38.5,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:15695:59181,4,1.46e-13,53.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:8318:66153,4,1.62e-14,55.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:8084:66510,7,2.9e-16,60.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:6668:67119,1,3.95e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:6756:71443,3,2.14e-07,35.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:14134:76657,4,4.54e-20,71.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:3311:79253,3,2.24e-17,63.9,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:5482:81810,2,3.17e-08,38.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1113:16571:97313,11,5.15e-11,45.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1113:10455:99265,1,4.58e-07,35.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1110:5158:9891,2,1.37e-07,36.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1110:2448:15584,4,2.78e-14,55.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:17153:21425,2,4.7e-06,32.0,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1110:2890:61223,12,4.68e-13,52.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:3745:65454,4,4.57e-09,40.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:8728:69426,9,3.83e-17,63.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:16354:81601,4,1.2e-16,62.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:15380:88311,8,1.49e-08,38.9,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:11707:89925,3,4.57e-09,40.4,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1110:5986:91535,3,1.22e-07,36.6,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1110:3311:93687,14,2.21e-14,55.5,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:5626:3152,7,5.7e-09,40.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:6787:4583,1,5.74e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:18439:12107,1,4.99e-07,34.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:5552:14498,1,6.15e-06,31.6,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:13371:18924,4,6.99e-20,71.2,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:2112:24432,11,1.13e-12,50.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:7319:26893,2,3.38e-08,38.1,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:12780:27736,1,9.26e-06,31.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:10246:41953,3,2.14e-07,35.8,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:6403:48549,10,8.46e-18,65.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:20871:49490,6,1.58e-07,36.2,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:11461:52274,4,1.09e-17,65.1,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:14701:57665,2,1.94e-14,55.8,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:15738:59928,4,2.98e-20,72.4,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:8586:64897,2,2.59e-06,32.7,104508_comb.part_001_blastx.txt
D00723:439:HGFFGBCX3:1:1116:20043:65073,4,6.69e-15,57.0,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:14035:68857,7,1.86e-10,44.3,104508_comb.part_001_blastx.txt;104508_comb.part_005_blastx.txt
D00723:439:HGFFGBCX3:1:1116:1406:75519,1,2.23e-13,52.8,104508_comb.part_001_blastx.txt
